cp,n_estab,empleo,resiliencia,indicadoras
09010,117,941,0.89,0
09013,1,75,-0.0,0
09015,17,78,0.904,0
09020,676,6978,0.824,0
09030,260,2378,0.902,0
09040,7754,46471,0.328,0
09050,1,3,-0.0,0
09060,1629,8271,0.863,0
09070,336,10923,0.979,0
09080,204,1267,0.909,0
09081,1,40,-0.0,0
09089,138,1143,0.836,0
09090,378,1871,0.864,0
09092,5,15,0.685,0
09096,168,514,0.741,0
09098,8,24,0.649,0
09099,81,753,0.849,0
09100,1989,9697,0.825,0
09110,1,75,-0.0,0
09120,3,9,0.459,0
09130,302,1451,0.831,0
09133,7,21,0.432,0
09140,1051,5123,0.868,0
09150,5,47,0.485,0
09160,249,865,0.769,0
09170,93,340,0.811,0
09180,899,3805,0.811,0
09181,1,20,-0.0,0
09188,1,3,-0.0,0
09200,966,5162,0.853,0
09201,1,40,-0.0,0
09207,5,69,0.485,0
09208,799,4840,0.835,0
09209,574,4014,0.795,0
09210,883,6605,0.837,0
09219,32,350,0.797,0
09220,508,3702,0.828,0
09224,1,175,-0.0,0
09225,343,1713,0.811,0
09227,103,1230,0.755,0
09228,7,21,0.296,0
09230,1636,6893,0.818,0
09234,3,9,-0.0,0
09237,3,9,0.459,0
09239,19,106,0.689,0
09240,430,1530,0.857,0
09243,6,18,0.325,0
09249,1,3,-0.0,0
09250,54,194,0.71,0
09260,984,4519,0.831,0
09270,72,233,0.852,0
09280,439,2227,0.889,0
09290,996,4502,0.824,0
09291,1,40,-0.0,0
09300,805,9146,0.894,0
09308,1,3,-0.0,0
09310,2478,17369,0.89,0
09319,32,710,0.76,0
09320,117,566,0.864,0
09330,1,3,-0.0,0
09340,13,233,0.913,0
09350,10,52,0.485,0
09359,35,110,0.823,0
09360,1155,9013,0.887,0
09368,17,51,0.823,0
09369,1,3,-0.0,0
09370,2,215,0.5,0
09380,11,50,0.912,0
09389,3,9,0.792,0
09390,1,20,-0.0,0
09400,424,2470,0.836,0
09410,1104,5313,0.835,0
09420,289,2002,0.841,0
09429,110,512,0.894,0
09430,419,4271,0.902,0
09438,37,148,0.761,0
09439,1,175,-0.0,0
09440,861,6643,0.913,0
09450,207,1223,0.806,0
09460,54,851,0.874,0
09470,192,1558,0.75,0
09479,39,403,0.837,0
09480,52,584,0.776,0
09500,1694,8342,0.828,0
09510,2082,11576,0.848,1
09511,3,46,0.792,0
09519,2,11,0.5,0
09520,510,2199,0.838,0
09530,315,2084,0.849,0
09536,4,12,-0.0,0
09538,7,21,0.778,0
09550,41,128,0.853,0
09558,4,12,0.5,0
09560,468,3585,0.79,0
09570,1322,10911,0.88,0
09572,11,50,0.895,0
09577,84,342,0.71,0
09578,279,1033,0.852,0
09600,421,1888,0.826,0
09606,96,337,0.68,0
09608,286,1136,0.839,0
09609,1330,5016,0.829,0
09620,858,3413,0.842,0
09630,2463,8936,0.816,0
09637,959,3224,0.785,0
09638,465,1927,0.808,0
09640,2678,9599,0.826,0
09648,153,486,0.722,0
09660,602,2502,0.821,0
09670,384,1396,0.828,0
09680,720,2345,0.8,0
09683,5,15,0.761,0
09689,27,86,0.615,0
09690,812,3053,0.82,0
09696,493,1755,0.764,0
09698,420,1385,0.806,0
09700,6301,23505,0.839,0
09704,24,72,0.561,0
09705,22,66,0.62,0
09706,3,9,0.459,0
09707,1,3,-0.0,0
09708,318,1165,0.825,0
09709,199,607,0.844,0
09710,159,1755,0.861,0
09720,1021,4352,0.872,0
09724,7,38,0.921,0
09730,1018,4895,0.867,0
09740,550,2149,0.811,0
09750,1388,5342,0.858,0
09760,957,3524,0.843,0
09769,10,102,0.861,0
09770,362,1209,0.861,0
09780,1453,7540,0.885,0
09790,474,1934,0.834,0
09800,1798,8330,0.82,0
09809,1,8,-0.0,0
09810,726,10085,0.909,0
09818,1,3,-0.0,0
09819,400,3653,0.922,0
09820,846,9739,0.858,0
09821,2,60,0.5,0
09828,115,485,0.878,0
09829,21,73,0.863,0
09830,2264,12875,0.881,0
09837,87,1132,0.861,0
09838,9,69,0.612,0
09839,56,212,0.661,0
09840,591,3180,0.865,0
09849,150,675,0.843,0
09850,1276,13076,0.851,0
09856,13,56,0.71,0
09857,1,3,-0.0,0
09858,232,935,0.848,0
09859,1,8,-0.0,0
09860,1401,11968,0.91,0
09868,11,38,0.843,0
09870,746,2926,0.812,0
09871,1,8,-0.0,0
09880,339,6837,0.892,0
09883,1,20,-0.0,0
09885,28,84,0.857,0
09889,2,95,0.5,0
09890,529,3803,0.862,0
09898,8,46,0.75,0
09900,1970,7777,0.843,0
09908,4,12,0.75,0
09910,487,4472,0.789,0
09919,38,158,0.738,0
09920,934,4236,0.861,0
09930,285,1238,0.861,0
09940,169,613,0.894,0
09960,1060,3566,0.855,0
09966,1,3,-0.0,0
09968,1,3,-0.0,0
09970,648,2207,0.853,0
09990,2,6,0.5,0
10000,121,1165,0.834,0
10010,413,1450,0.832,0
10012,75,225,-0.0,0
10020,392,1458,0.859,0
10021,1,3,-0.0,0
10049,1,20,-0.0,0
10070,1,20,-0.0,0
10090,1,20,-0.0,0
10100,14,135,0.921,0
10101,1,8,-0.0,0
10110,7,215,0.778,0
10130,30,149,0.753,0
10140,4,12,0.5,0
10200,545,9477,0.801,0
10290,2,23,-0.0,0
10300,721,3271,0.794,0
10320,259,933,0.841,0
10330,242,768,0.761,0
10340,164,569,0.776,0
10350,237,871,0.802,0
10360,229,1085,0.813,0
10368,34,112,0.69,0
10369,178,811,0.748,0
10370,31,110,0.704,0
10378,50,331,0.813,0
10379,43,144,0.634,0
10380,198,761,0.806,0
10400,572,5823,0.845,0
10500,80,861,0.877,0
10580,216,3028,0.831,0
10581,1,20,-0.0,0
10600,250,903,0.852,0
10606,18,54,0.561,0
10610,310,1679,0.824,0
10620,92,415,0.791,0
10630,290,900,0.742,0
10639,9,32,0.459,0
10640,664,2982,0.841,0
10643,3,26,0.459,0
10660,79,579,0.767,0
10669,1,400,-0.0,0
10700,407,3196,0.511,0
10701,1,20,-0.0,0
10710,190,1082,0.82,0
10740,1,20,-0.0,0
10800,180,1143,0.778,0
10810,107,477,0.869,0
10820,112,519,0.786,0
10830,166,1162,0.827,0
10840,3,14,0.459,0
10860,8,34,0.953,0
10900,603,2323,0.772,0
10901,1,8,-0.0,0
10910,146,726,0.912,0
10920,18,54,0.731,0
10926,100,322,0.741,0
10930,1,3,-0.0,0
10960,1,8,-0.0,0
11000,2171,70454,0.791,0
11009,2,250,-0.0,0
11010,80,1822,0.662,0
11020,2,195,-0.0,0
11040,78,3841,0.809,0
11090,1,75,-0.0,0
11100,134,1766,0.757,0
11111,51,296,0.833,0
11200,256,6861,0.889,0
11201,2,403,0.5,0
11202,1,8,-0.0,0
11210,36,1347,0.933,0
11220,333,3254,0.613,0
11230,326,4614,0.886,0
11231,1,20,-0.0,0
11240,18,101,0.808,0
11250,61,2646,0.885,0
11260,174,1293,0.869,0
11270,734,3117,0.719,0
11280,151,1284,0.877,0
11288,5,15,0.961,0
11289,59,575,0.842,0
11290,309,2422,0.792,0
11300,648,11124,0.848,0
11305,1,3,-0.0,0
11308,1,400,-0.0,0
11310,14,74,0.962,0
11311,5,953,0.485,0
11320,1379,24371,0.936,0
11330,101,1915,0.832,0
11340,36,1422,0.86,0
11350,113,2159,0.873,0
11360,168,2521,0.828,0
11370,601,3088,0.83,0
11390,4,481,0.5,0
11400,511,4721,0.911,0
11401,1,175,-0.0,0
11409,2,11,0.5,0
11410,1632,11277,0.793,0
11411,2,43,0.5,0
11420,87,1115,0.925,0
11430,360,2461,0.823,0
11440,321,1625,0.762,0
11450,190,1856,0.889,0
